Unnamed: 0,text
33553,@125419 We're help. Which version iOS instal device? You'd see Settings &gt; General &gt; About.
9427,@AmazonHelp I ask customer care exec phone cancel order. Don't want waste time this.
199,"@AdobeCare Seems pretty widespreaTongue_sticking_out_cheeky_playful_or_blowing_a_raspberry Don't mean jerk, frustrating update break core functionality."
12447,"@Tesco @119641 Hi, Charlie. I’m lock account I’m use friends. I not, no. Can please call +44 7733 236695. Ta"
39489,@127147 @XboxSupport Yes. If get error say support make sure TV Dolby TrueHD support.
42724,@128067 I see I find you. DM You I get started. -Yngwie
10822,I love BODY. I still wear Walmart make man want
49498,"@Delta I know it’s snowing MSP, wouldn’t kill flight crew keep You informed abt delay DL3438 - 35 min &amp; counting."
4144,@117023 Sorry confusion! DM = direct message. ^LJ
36958,#Comcast cable ☹️😢
43106,@115955 If y'all could stop mess wifi start every month that'd sure nice.
38695,"@126919 Hi. Not worry. The Season Pass downloaded. Instead, license attach account. ^SM"
6188,@AppleSupport iOS11.1 consumes battery pretty fast....
1414,"@116169 Hello, order number check you?"
18471,@SpotifyCares Splendid
29282,#Amazonlogistics Delivery service fall way short expectations. Package @AmazonHelp @115821
15177,@Ask_Spectrum service terrible. It’s go 12Happy_face_smiley0am time. Maintenance shouldn’t frequent! I’m switching.
34304,@Delta 25 depart 3505 aircraft delay posted. Who kid ? No announce gate a/c. Poor communication
12609,"@119689 Hi, able direct message You detail this? ^JI"
12144,@Delta Doing fine! Pilots great job. Scary ride I'd definitely take flight crew heartbeat.
6113,@117624 @117625 @117626 @117627 Record show VAS deactivate since yesterday. Stay Unlimited! TT
15908,Extremely disappointed @115830 email say refuse door tell completely wrong package arrived. Wheres stuff?!
821,"@115977 Yeah, buddy! Send You pic, sure. -Becky"
15118,@115873 @Uber_Support give 1 rsn shud pay cancelling fee driver point 15mins wait cancel
13466,@119910 We've receive DM member team reach out. Please review message response.
26497,@British_Airways problem w gate 365 site - try 2different computer go circle allow merchant website
42111,@azuresupport #azhelp: Why screenshots diff Remote Monitoring deploy
30188,@124433 @116245 This happen x
37237,@126515 @MTNC_Care @124257 IPhone coûte combien ?
33109,"@O2 Ok do, thanks!"
36480,"@MicrosoftHelps Hello, I’m try get help defective Microsoft Office online support staff helpful all. Can refer someone senior resolve issues? Thank"
24148,"@122767 No worries, always happy help clarify behavior - You know find You there's anything else need assistance... 1/2"
5503,@116333 @115858 team let know new iPhone 6 always hang problem I know problem I know I feel I cheat apple phone 📱 I ?
3918,@116944 Yes would love help out! Send DM get started. *KevinM
38478,Our @southwestair captain today hometown boy Hagerstown! And big KIX fan! KIX fly @southwestair exclusively! 🎤🥁🎸🎸🎸
21123,@GreggsOfficial Is beloved festive bake arrive pretty please let You know 😍
49717,"@130086 Hi there, sorry that. If receipt yes take back. Robbie"
42294,"@127940 We're help issue may having. To get thing started, device OS version using?"
47609,"@129457 What great seatmate! We hope great day, Christena."
11076,"I’m miss bag. Tag 8006080773 DL0140 MSP CDG DL8461/AF0192 BLR, rebooked EK072. What do? @delta"
41514,"@127728 Hi Karim, I'm sorry delayed. You claim service delay refund here:"
22062,@AmazonHelp Still nothing. Package two week late. How patient I issue I bring two month ago? @115821
9413,@AmazonHelp Sorry say this. But idiots. Once email completely ignore query give template reply
38340,Be careful @ChipotleTweets pass mold blueberry kid meal
30263,@mediatemplehelp I'm see option admin.
41252,God damn @115879
14644,"@120229 You reach You tweeting. As cannot check order detail here, kindly connect support team. ^RW"
26335,"@123356 Welche Strafe wurde hierfür verhängt? Nein, im Ernst: Freut mich, das e wieder klappt. Liebe Grüße ^DW"
28102,@123829 Send You DM. We'll continue work there.
17523,@Uber_Support long DM reply take?
24712,@122908 失礼いたします。Kindleのダウロードができないとのことご不便をおかけしております。 サポートさせていただきたく存じますが、電子書籍がダウンロードできないとのことでしょうか？また、よろしければエラーの状況やご利用端末をお教えいただけませんでしょうか。 SM
40485,@Uber_Support @127425 I HAVE A PASS AND WAS REFRESHING THE APP EVERY 5 SECONDS FROM 9:55-10:15. YOU DIDNT SELL OUT. GET IT TOGETHER!!!
3850,@116924 ご心配をおかけしております。 配送業者にすでにご確認中とのことですので、一旦配送業者からの回答をお待ちくださいませ。 なお、配送業者からの回答をお待ちいただいても商品がお手元に届かない場合は、下記URLよりカスタマーサービスにご連絡ください。 TY
40040,@127301 @2286 We're pleased fan hope enjoy use stylist help make shop easy Happy_face_or_smiley
15267,"@120374 Request DM contact detail look issue. Rgds,Pradnya"
49146,@NikeSupport @129913 bring back nike challenge option PLEASE!!
30001,@sainsburys No@worries. A nice lady customer service Truro kindly replace them. Thank you.
45926,@ChipotleTweets No. I try everything. I reset page reentered info carefully enter email still let proceed.
43824,"@128396 Hi Mike! When subscribe Hulu Live TV, also get full access On-Demand Library:"
17240,"Imagine unlawfully take thousand pound @Delta , would head demand immediate payment spot ..."
4892,@117241 @Tesco @117242 @marksandspencer @sainsburys @117248 @AldiUK @117249 @Morrisons @117250 @117251 I'd say real burn basic Favorina mince pie get score Finest*...and pack...and cost less... Deluxe range clock we'll talk. 😉
725,"@hulu_support @115942 I think understand HOW works, frustrate USED much user-friendly update."
22949,"@122462 I'm sorry hear this. Please reach DM track number, phone number full address.^KP"
34657,@AldiUK Aldi Poulton le fylde never semi skim milk 5pm? Or big sizes?
37213,Long lines. One teller drive lobby. Bank manager stand around. Seriously @116035? #whyamistillhere
20304,ba itna hi sikha tha training mai
15269,"@120374 As checked, USSD dial end. Now recharge credit account, refund same. Rgds,Pradnya"
22367,@122283 @O2 @602 @115858 😂😂
42684,@128054 We'd love help. Let's chat here:
46734,@129194 Hey there! It look like respond message Oct 29. Be sure check junk/spam folder too! ^NM
11732,@NortonSupport 大当たりでした。スパムがいっぱい（苦笑）。 ありがとうございました。
18619,Up early get @AldiUK wine advent calendar Chichester store yet.
48492,"@129722 We'd recommend check directly, store others not. Contact detail ➡"
26803,@AmazonHelp Are pre release code email ?
44305,"@128524 Hey! If 10,000 song Your Music, able add more. Anything else, we're 🙂 /ND"
47522,"@129423 Gotcha. Does log out, restart device, log back help all? Let You know go /JE"
32207,"@125015 Glad resolved. If need help future, please let You know. ^js"
2530,"@116529 That's super cute set! We apologize unable find it. It's still show active item system, encourage continue check availability. Thank you."
17746,@121001 If select small arrow next 'Other tickets' option purchase 'Off Peak' ticket.
8270,"@MicrosoftHelps Finally download app hang ""Just moment"" time out."
15079,"@120322 sorry hear that, Amazon marketplace shop from? .com, .co.uk, .es etc? ^AS"
13624,"@VerizonSupport TWC New York it. I know get feeds, Verizon big enough make good want to. Then again, despite several appointment service spotty enough I'm watch livestream. Should probably switch Comcast"
30638,"@124565 Sorry hear that! Please follow us, give assistance via Direct Message. Thanks!"
